Species,polarizability(A^3),Dipole Moment(D),Mass(amu);
H,0.667,0,1
He,0.205,0,2
N,1.10,0,14
O,0.802,0,16
F,0.557,0,19
Ne,0.396,0,20
Ar,1.64,0,40
H2,0.802,0,2
D2,0.795,0,4
HD,0.798,0,3
O2,1.58,0,32
O3,3.21,0.533,48
N2,1.74,0,28
NO,1.7,0.159,30
N2O,3.03,0.161,44
NO2,3.02,0.316,46
SO2,3.9,1.63,64
Cl2,4.61,0,71
HCl,2.515,1.08,36.5
F2,1.38,0,38
CO,1.95,0.110,28
CO2,2.507,0,44
COS,5.09,0.712,60
H2O,1.45,1.85,18
D2O,1.26,1.85,20
H2S,3.9,0.978,34
HCN,2.5,3.0,27
NH3,2.2,1.47,17
SF6,6.54,0,146
SF4,8,0.632,108
CCl4,10.8,0,152
CH3Cl,4.41,1.87,50.5
CH3I,7.325,1.62,142
CH4,2.59,0,16
C2H2,3.6,0,26
C2H4,4.252,0,28
C2H6,4.45,0,30
C3H8,6.3,0.08,44
C6H6,10.4,0,78
C10H8,17,0,128
CH3OH,3.29,1.7,32
(CH3)2CO,6.36,2.88,58
CH3,2.3,0,15
C2H5,4,0.3,29
CF3,2.5,0.3,69
CH3OCH3,5.29,1.3,46
CF3I,10,1.05,196
I,5.35,0,127
Cl,2.18,0,35.5
Br,3.05,0,80
Kr,2.48,0,83.8
Xe,4.04,0,131
Sm,28.8,0,150.4
CH3Br,5.95,1.82,95
HCl,2.63,1.108,36.5
ClF,2.7,0.88,54.5
ICl,7.4,0.726,152.5
